MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Chandrakant (Dada) Bachhu Patil,1900-03-05,Kothrud,Male,Bharatiya Janata Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chandrakant (Dada) Bachhu Patil.jpg
Chandrakant alias Rajubhaiya Ramakant Navghare,1900-02-12,Basmath,Male,Nationalist Congress Party,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chandrakant Alias Rajubhaiya Ramakant Navghare.jpg
Chandrakant Baliram Sonawane,1900-03-03,Chopda,Male,Shiv Sena,Elected,Post Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chandrakant Baliram Sonawane.jpg
Chandrakant Nimba Patil,1900-02-20,Muktainagar,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chandrakant Nimba Patil.jpg
Chandrashekhar Krushnarao Bawankule,1900-02-24,Kamthi,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chandrashekhar Krushnarao Bawankule.jpg
Charansing Babulalji Thakur,1900-03-05,Katol,Male,Bharatiya Janata Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Charansing Babulalji Thakur.jpg
Chetan Vitthal Tupe,1900-02-22,Hadapsar,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chetan Vitthal Tupe.jpg
Chhagan Bhujbal,1900-03-17,Yevla,Male,Nationalist Congress Party,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Chhagan Bhujbal.jpg
Dadaji Dagdu Bhuse,1900-02-29,Malegaon Outer,Male,Shiv Sena,Elected,Inter/ Higher Secondary,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Dadaji Dagdu Bhuse.jpg
Daulat Bhika Daroda,1900-02-25,Shahapur,Male,Nationalist Congress Party,Elected,Graduate,2024-11-23,In Office,,,,,,,"Member's Data is taken from election affidavit 2024 (Updated as on : Nov 24, 2024)",15,Maharashtra,Daulat Bhika Daroda.jpg
